Comment,Designator,Footprint,LCSC
C100nf,C2,Capacitor_SMD:C_0805_2012Metric,C49678
C10uf,"C1,C3",Capacitor_SMD:C_1206_3216Metric,C13585
CPC1972GSTR,IC3,SOP254P952X470-6N,C150430
S8050 J3Y,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C2146
R10k,"R1,R6,R7",Resistor_SMD:R_0805_2012Metric,C17414
R470,"R2,R3,R4,R5",Resistor_SMD:R_0805_2012Metric,C17710
R220,R8,Resistor_SMD:R_0805_2012Metric,C17557
R120,"R9,R10",Resistor_SMD:R_0805_2012Metric,C17437
TS-1187A-B-A-B,"S4,S5",TS1187ABAB,C318884
ESP32-WROOM-32D,U1,RF_Module:ESP32-WROOM-32,C473012
